Label,Full Name,Combination,Dry,Normal,Oily,Sensitive,Hazard (bio) Score,Price (Euro),Online Review,img_url,Product Utilities,
Moisturizer,GLOW RECIPE Watermelon Pink Juice Moisturizer,1,0,1,1,1,6,36,4.3,https://www.sephora.com/productimages/sku/s2049286-main-zoom.jpg,148,
Moisturizer,LA MER The Concentrate Mini,1,1,1,1,0,6,252,4.6,https://www.sephora.com/productimages/sku/s2384022-main-zoom.jpg,1245,
Moisturizer,LA MER The Moisturizing Cool Gel Cream,1,1,1,1,1,6,354,4.6,https://www.lamer.eu/media/export/cms/products/680x680/LM_SKU_5R0701_85317_680x680_0.png,149,
Moisturizer,PHILOSOPHY Renewed Hope in A Jar Refreshing & Refining Moisturizer,1,1,1,1,1,6,39,4.5,https://media.allure.com/photos/57ec8abed4538195654aa7b3/master/pass/philosophy%20Renewed%20Hope%20in%20a%20Jar%20Review.jpg,148,
Moisturizer,PERRICONE MD Cold Plasma Sub-D Firming Neck Treatment,1,1,1,1,1,8,125,4.3,https://static.thcdn.com/images/large/original//productimg/1600/1600/12435661-1154844553885228.jpg,45,
Moisturizer,LANCÔME Rénergie Lift Multi-Action Night,1,1,1,1,1,8,149,4.7,https://www.sephora.com/productimages/sku/s1459163-main-zoom.jpg,1247,
Moisturizer,ALGENIST GENIUS Ultimate Anti-Aging Cream,1,1,1,1,1,9,104,4.4,https://www.sephora.com/productimages/sku/s1582477-main-zoom.jpg,24,
Moisturizer,IT COSMETICS Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,1,1,1,1,1,8,37,3.7,https://images.squarespace-cdn.com/content/v1/54d4717de4b0950984a1ad2f/1558533803371-JWGMYQY0SDOA7H7X1S6Q/It-Powder-1.jpg,159,
Moisturizer,DR. JART+ Cicapair™ Tiger Grass Cream,1,1,1,1,1,4,48,4.3,https://www.drjart.com/media/export/cms/products/1000x1000/dj_sku_H5A401_1000x1000_0.jpg,1389,
Moisturizer,CLINIQUE Dramatically Different Hydrating Jelly,1,0,1,1,1,4,42,4.1,https://cdn.cosmostore.org/cache/front/shop/products/443/1308055/350x350.jpg,38,
Moisturizer,JOSIE MARAN Whipped Argan Oil Face Butter,1,1,1,1,1,4,42,4.6,https://www.sephora.com/productimages/sku/s1775154-main-zoom.jpg,45,
Moisturizer,OLEHENRIKSEN Nurture Me™ Moisturizing Crème,0,1,0,0,1,9,70,4.1,https://www.enviebd.com/wp-content/uploads/2019/10/Ole-Henriksen-Nurture-Me%E2%84%A2-Moisturizing-Cre%CC%80me-50ml.jpg,14,
Moisturizer,SHISEIDO Benefiance WrinkleResist24 Balancing Softener Enriched,1,0,1,0,0,8,70,4.5,https://www.shiseido.id/dw/image/v2/BCSK_PRD/on/demandware.static/-/Sites-itemmaster_shiseido/default/dw7706a453/images/products/10304/10304_XX_01.jpg,4,
Moisturizer,FARMACY Sleep Tight Firming Night Balm with Echinacea GreenEnvy™,1,1,1,1,1,4,50,4.1,https://img.makeupalley.com/thumb/h/350/1_1_8_1_3281862.JPG,4,
Moisturizer,ORIGINS Original Skin™ Matte Moisturizer with Willowherb,0,1,1,1,0,5,37,4.4,https://m.origins.com/media/export/cms/products/1000x1000/origins_sku_0PE201_1000x1000_0.jpg,138,
